Date,Close,%R,returns,signal,GDP,Unemployment rate,Property price
2000-01-03,57.53221893310547,,,0.0,0.0,0.0,0.0
2000-01-04,56.46681213378906,,0.0,0.0,0.0,0.0,0.0
2000-01-05,53.53694534301758,,0.0,0.0,0.0,0.0,0.0
2000-01-06,51.67245864868164,,0.0,0.0,0.0,0.0,0.0
2000-01-07,53.53694534301758,,0.0,0.0,0.0,0.0,0.0
2000-01-10,53.27057266235352,,0.0,0.0,0.0,0.0,0.0
2000-01-11,52.20516967773438,,0.0,0.0,0.0,0.0,0.0
2000-01-12,51.27291870117188,,0.0,0.0,0.0,0.0,0.0
2000-01-13,51.53927612304688,,0.0,0.0,0.0,0.0,0.0
2000-01-14,51.53927612304688,,0.0,0.0,0.0,0.0,0.0
2000-01-17,51.40611267089844,,0.0,0.0,0.0,0.0,0.0
2000-01-18,51.13975524902344,,0.0,0.0,0.0,0.0,0.0
2000-01-19,49.6747932434082,,0.0,0.0,0.0,0.0,0.0
2000-01-20,48.74256134033203,-98.76543391645001,0.0,1.0,0.0,0.0,0.0
2000-01-21,48.20988082885742,-94.1176407868354,-0.0005326805114745925,1.0,0.0,0.0,0.0
2000-01-24,49.40846252441406,-75.92596844715476,0.0011992204969444309,0.0,0.0,0.0,0.0
2000-01-25,48.20988082885742,-92.59257785759769,0.0,1.0,0.0,0.0,0.0
2000-01-26,48.60940170288086,-87.0371297948146,0.0003992550096396652,1.0,0.0,0.0,0.0
2000-01-27,49.40846252441406,-75.92596844715476,0.0007982103905761484,0.0,0.0,0.0,0.0
2000-01-28,50.473876953125,-50.00002110436501,0.0,0.0,0.0,0.0,0.0
2000-01-31,49.14210891723633,-69.44457232664891,0.0,0.0,0.0,0.0,0.0
2000-02-01,49.00894546508789,-72.2220806368684,0.0,0.0,0.0,0.0,0.0
2000-02-02,48.74256134033203,-77.77829075520623,0.0,0.0,0.0,0.0,0.0
2000-02-03,48.60940170288086,-80.55571949889912,0.0,1.0,0.0,0.0,0.0
2000-02-04,48.60940170288086,-75.00017578390596,0.0,0.0,0.0,0.0,0.0
2000-02-07,48.60940170288086,-73.0769394229251,0.0,0.0,0.0,0.0,0.0
2000-02-08,47.41082382202149,-89.65515699466363,0.0,1.0,0.0,0.0,0.0
2000-02-09,48.34304428100586,-65.51757425090265,0.0009304855845422288,0.0,0.0,0.0,0.0
2000-02-10,47.81035614013672,-79.31023880029191,0.0,0.0,0.0,0.0,0.0
2000-02-11,48.07668685913086,-72.41425222869253,0.0,0.0,0.0,0.0,0.0
2000-02-14,46.61174392700195,-88.88892883414877,0.0,1.0,0.0,0.0,0.0
2000-02-15,46.74492263793945,-83.78383227003148,0.00013280728835085576,1.0,0.0,0.0,0.0
2000-02-16,49.27528381347656,-32.43244698425224,0.0025229691734443005,0.0,0.0,0.0,0.0
2000-02-17,49.54164123535156,-15.624952993542827,0.0,-1.0,0.0,0.0,0.0
2000-02-18,48.60940170288086,-37.49998920895246,0.0009271769209695524,0.0,0.0,0.0,0.0
2000-02-21,47.677162170410156,-59.375025424362086,0.0,0.0,0.0,0.0,0.0
2000-02-22,47.27761459350586,-68.75042456818173,0.0,0.0,0.0,0.0,0.0
2000-02-23,47.01129531860352,-74.99961651985787,0.0,0.0,0.0,0.0,0.0
2000-02-24,48.07668685913086,-50.000163352644165,0.0,0.0,0.0,0.0,0.0
2000-02-25,47.677162170410156,-59.375025424362086,0.0,0.0,0.0,0.0,0.0
2000-02-28,47.41082382202149,-65.624664936123,0.0,0.0,0.0,0.0,0.0
2000-02-29,47.54397201538086,-62.500337496335874,0.0,0.0,0.0,0.0,0.0
2000-03-01,47.54397201538086,-62.500337496335874,0.0,0.0,0.0,0.0,0.0
2000-03-02,46.87811279296875,-78.12474956779792,0.0,0.0,0.0,0.0,0.0
2000-03-03,46.47856903076172,-87.50005919960061,0.0,1.0,0.0,0.0,0.0
2000-03-06,46.07905197143555,-100.0,-0.0003969793755130846,1.0,0.0,0.0,0.0
2000-03-07,45.54633712768555,-94.59460724285353,-0.0005295413207787592,1.0,0.0,0.0,0.0
2000-03-08,46.74492263793945,-62.162234676515304,0.001192076473669923,0.0,0.0,0.0,0.0
2000-03-09,46.87811279296875,-44.44413479392131,0.0,0.0,0.0,0.0,0.0
