Date,Close,MACD,Signal line,returns,signal,GDP,Unemployment rate,Property price
2000-01-03,57.53221893310547,0.0,0.0,,0.0,0.0,0.0,0.0
2000-01-04,56.46681213378906,-0.08498971618478635,-0.01699794323695727,0.0,0.0,0.0,0.0,0.0
2000-01-05,53.53694534301758,-0.3843301242408401,-0.09046437943773385,0.0,0.0,0.0,0.0,0.0
2000-01-06,51.67245864868164,-0.7632102358073851,-0.22501355071166412,0.0,0.0,0.0,0.0,0.0
2000-01-07,53.53694534301758,-0.9026220942010212,-0.36053525940953557,0.0,0.0,0.0,0.0,0.0
2000-01-10,53.27057266235352,-1.0228107202410257,-0.49299035157583365,0.0,0.0,0.0,0.0,0.0
2000-01-11,52.20516967773438,-1.190309047447215,-0.6324540907501099,0.0,0.0,0.0,0.0,0.0
2000-01-12,51.27291870117188,-1.3823427543864213,-0.7824318234773723,0.0,0.0,0.0,0.0,0.0
2000-01-13,51.53927612304688,-1.4957954340964932,-0.9251045456011966,0.0,0.0,0.0,0.0,0.0
2000-01-14,51.53927612304688,-1.5676367594067102,-1.0536109883622995,0.0,0.0,0.0,0.0,0.0
2000-01-17,51.40611267089844,-1.6166806171925714,-1.166224914128354,0.0,0.0,0.0,0.0,0.0
2000-01-18,51.13975524902344,-1.6579294668644877,-1.2645658246755809,0.0,0.0,0.0,0.0,0.0
2000-01-19,49.6747932434082,-1.788216224555505,-1.3692959046515658,0.0,0.0,0.0,0.0,0.0
2000-01-20,48.74256134033203,-1.944280289378689,-1.4842927815969906,0.0,0.0,0.0,0.0,0.0
2000-01-21,48.20988082885742,-2.086888696758045,-1.6048119646292016,0.0,0.0,0.0,0.0,0.0
2000-01-24,49.40846252441406,-2.0792233684580523,-1.699694245394972,0.0,0.0,0.0,0.0,0.0
2000-01-25,48.20988082885742,-2.145136270792115,-1.7887826504744007,0.0,0.0,0.0,0.0,0.0
2000-01-26,48.60940170288086,-2.1404608251683044,-1.8591182854131816,0.0,0.0,0.0,0.0,0.0
2000-01-27,49.40846252441406,-2.0486622671906645,-1.897027081768678,0.0,0.0,0.0,0.0,0.0
2000-01-28,50.473876953125,-1.868403416716255,-1.8913023487581937,0.0,1.0,0.0,0.0,0.0
2000-01-31,49.14210891723633,-1.812120531979943,-1.8754659854025435,-0.0013317680358886363,1.0,0.0,0.0,0.0
2000-02-01,49.00894546508789,-1.7579960340590048,-1.8519719951338358,-0.00013334103147200072,1.0,0.0,0.0,0.0
2000-02-02,48.74256134033203,-1.7168066734569223,-1.8249389307984532,-0.00026677493175364386,1.0,0.0,0.0,0.0
2000-02-03,48.60940170288086,-1.6755934796940508,-1.7950698405775727,-0.0001333905786425893,1.0,0.0,0.0,0.0
2000-02-04,48.60940170288086,-1.6242088580314729,-1.7608976440683528,0.0,1.0,0.0,0.0,0.0
2000-02-07,48.60940170288086,-1.5654407486601443,-1.7218062649867112,0.0,1.0,0.0,0.0,0.0
2000-02-08,47.41082382202149,-1.5971706278405051,-1.69687913755747,-0.0012008167740146236,1.0,0.0,0.0,0.0
2000-02-09,48.34304428100586,-1.5294636802954287,-1.6633960461050619,0.000935084673019837,1.0,0.0,0.0,0.0
2000-02-10,47.81035614013672,-1.5014807818574099,-1.6310129932555317,-0.0005338256339711966,1.0,0.0,0.0,0.0
2000-02-11,48.07668685913086,-1.4412002111174687,-1.593050436827919,0.00026704199089477854,1.0,0.0,0.0,0.0
2000-02-14,46.61174392700195,-1.4944094541421222,-1.5733222402907598,-0.001468463117367258,1.0,0.0,0.0,0.0
2000-02-15,46.74492263793945,-1.508443357586465,-1.560346463749901,0.00013369505904048395,1.0,0.0,0.0,0.0
2000-02-16,49.27528381347656,-1.3003961698423296,-1.5083564049683866,0.0025398320933816,1.0,0.0,0.0,0.0
2000-02-17,49.54164123535156,-1.1013290213480076,-1.426950928244311,0.0002666770591686074,1.0,0.0,0.0,0.0
2000-02-18,48.60940170288086,-1.0071806594900323,-1.3429968744934553,-0.0009331094103917081,1.0,0.0,0.0,0.0
2000-02-21,47.677162170410156,-0.9963065419979387,-1.273658807994352,-0.000933980916774213,1.0,0.0,0.0,0.0
2000-02-22,47.27761459350586,-1.0083057547472265,-1.2205881973449269,-0.00040066813139028046,1.0,0.0,0.0,0.0
2000-02-23,47.01129531860352,-1.0274610259276642,-1.1819627630614744,-0.0002671732306429586,1.0,0.0,0.0,0.0
2000-02-24,48.07668685913086,-0.9457712605035766,-1.134724462549895,0.0010690933635737476,1.0,0.0,0.0,0.0
2000-02-25,47.677162170410156,-0.9028622028128055,-1.088352010602477,-0.00040048472674047986,1.0,0.0,0.0,0.0
2000-02-28,47.41082382202149,-0.8802013312420556,-1.0467218747303928,-0.0002670853098228898,1.0,0.0,0.0,0.0
2000-02-29,47.54397201538086,-0.8417947944301432,-1.005736458670343,0.00013355728642383546,1.0,0.0,0.0,0.0
2000-03-01,47.54397201538086,-0.8021110998404026,-0.9650113869043551,0.0,1.0,0.0,0.0,0.0
2000-03-02,46.87811279296875,-0.8149959939030751,-0.9350083083040992,-0.0006678158593960148,1.0,0.0,0.0,0.0
2000-03-03,46.47856903076172,-0.8476757296108275,-0.917541792565445,-0.0004009856118990518,1.0,0.0,0.0,0.0
2000-03-06,46.07905197143555,-0.8954896956003395,-0.9131313731724239,-0.0004011196558650898,1.0,0.0,0.0,0.0
2000-03-07,45.54633712768555,-0.9652415403003829,-0.9235534065980157,-0.0005350663667855748,0.0,0.0,0.0,0.0
2000-03-08,46.74492263793945,-0.9132768589448403,-0.9214980970673806,0.0,1.0,0.0,0.0,0.0
2000-03-09,46.87811279296875,-0.8515312203426291,-0.9075047217224304,0.00013384970478025338,1.0,0.0,0.0,0.0
2000-03-10,46.74492263793945,-0.80407580394332,-0.8868189381666083,-0.00013383179143444668,1.0,0.0,0.0,0.0
2000-03-13,46.26301193237305,-0.7961753966221679,-0.8686902298577203,-0.00048429709880815075,1.0,0.0,0.0,0.0
2000-03-14,45.99169540405274,-0.802555878653969,-0.8554633596169701,-0.00027279218414566486,1.0,0.0,0.0,0.0
2000-03-15,46.26301193237305,-0.7767654121330665,-0.8397237701201894,0.00027286662002690143,1.0,0.0,0.0,0.0
2000-03-16,46.6700439453125,-0.715237388474705,-0.8148264937910925,0.00040924580789236664,1.0,0.0,0.0,0.0
