Date,Close,returns,signal,RSI,GDP,Unemployment rate,Property price
2000-01-03,57.53221893310547,,0.0,,0.0,0.0,0.0
2000-01-04,56.46681213378906,0.0,1.0,0.0,0.0,0.0,0.0
2000-01-05,53.53694534301758,-0.0029298667907714515,1.0,0.0,0.0,0.0,0.0
2000-01-06,51.67245864868164,-0.001869965443990207,1.0,0.0,0.0,0.0,0.0
2000-01-07,53.53694534301758,0.0018734687658426008,1.0,29.248818241957594,0.0,0.0,0.0
2000-01-10,53.27057266235352,-0.0002671554104290985,1.0,27.903440085975234,0.0,0.0,0.0
2000-01-11,52.20516967773438,-0.0010688191866914387,1.0,23.017331117705822,0.0,0.0,0.0
2000-01-12,51.27291870117188,-0.0009362409005333472,1.0,19.559322632514537,0.0,0.0,0.0
2000-01-13,51.53927612304688,0.000267748076852925,1.0,23.35537883389398,0.0,0.0,0.0
2000-01-14,51.53927612304688,0.0,1.0,23.355378833893994,0.0,0.0,0.0
2000-01-17,51.40611267089844,-0.00013382286915530894,1.0,22.64411881682649,0.0,0.0,0.0
2000-01-18,51.13975524902344,-0.000267712233028905,1.0,21.15707178850215,0.0,0.0,0.0
2000-01-19,49.6747932434082,-0.001472807736206283,1.0,14.933493459793127,0.0,0.0,0.0
2000-01-20,48.74256134033203,-0.0009386069391373875,1.0,12.280952199493058,0.0,0.0,0.0
2000-01-21,48.20988082885742,-0.0005368270986170209,1.0,10.993509678916723,0.0,0.0,0.0
2000-01-24,49.40846252441406,0.0012085606982197294,0.0,30.03584265550161,0.0,0.0,0.0
2000-01-25,48.20988082885742,0.0,1.0,24.089233812802263,0.0,0.0,0.0
2000-01-26,48.60940170288086,0.0004023608777679044,1.0,29.46055739556472,0.0,0.0,0.0
2000-01-27,49.40846252441406,0.0008044172985559594,0.0,39.36224703930148,0.0,0.0,0.0
2000-01-28,50.473876953125,0.0,0.0,50.13159496060423,0.0,0.0,0.0
2000-01-31,49.14210891723633,0.0,0.0,39.908739148659535,0.0,0.0,0.0
2000-02-01,49.00894546508789,0.0,0.0,38.99139178805473,0.0,0.0,0.0
2000-02-02,48.74256134033203,0.0,0.0,37.02688219597913,0.0,0.0,0.0
2000-02-03,48.60940170288086,0.0,0.0,35.98126196191323,0.0,0.0,0.0
2000-02-04,48.60940170288086,0.0,0.0,35.98126196191325,0.0,0.0,0.0
2000-02-07,48.60940170288086,0.0,0.0,35.98126196191325,0.0,0.0,0.0
2000-02-08,47.41082382202149,0.0,1.0,25.87694079963181,0.0,0.0,0.0
2000-02-09,48.34304428100586,0.0009377152527345611,0.0,40.797115147855614,0.0,0.0,0.0
2000-02-10,47.81035614013672,0.0,0.0,36.017077294198735,0.0,0.0,0.0
2000-02-11,48.07668685913086,0.0,0.0,40.06802477628629,0.0,0.0,0.0
2000-02-14,46.61174392700195,0.0,1.0,28.582702624063913,0.0,0.0,0.0
2000-02-15,46.74492263793945,0.00013383820504420108,0.0,30.66740802233521,0.0,0.0,0.0
2000-02-16,49.27528381347656,0.0,0.0,57.72239281459171,0.0,0.0,0.0
2000-02-17,49.54164123535156,0.0,0.0,59.635501371038266,0.0,0.0,0.0
2000-02-18,48.60940170288086,0.0,0.0,50.42136862964189,0.0,0.0,0.0
2000-02-21,47.677162170410156,0.0,0.0,42.792425168108146,0.0,0.0,0.0
2000-02-22,47.27761459350586,0.0,0.0,39.813439863994304,0.0,0.0,0.0
2000-02-23,47.01129531860352,0.0,0.0,37.79013241765633,0.0,0.0,0.0
2000-02-24,48.07668685913086,0.0,0.0,49.61040731320466,0.0,0.0,0.0
2000-02-25,47.677162170410156,0.0,0.0,45.84154853800836,0.0,0.0,0.0
2000-02-28,47.41082382202149,0.0,0.0,43.31067739008666,0.0,0.0,0.0
2000-02-29,47.54397201538086,0.0,0.0,45.06030835077471,0.0,0.0,0.0
2000-03-01,47.54397201538086,0.0,0.0,45.06030835077471,0.0,0.0,0.0
2000-03-02,46.87811279296875,0.0,0.0,37.37928431346539,0.0,0.0,0.0
2000-03-03,46.47856903076172,0.0,0.0,33.433473114034726,0.0,0.0,0.0
2000-03-06,46.07905197143555,0.0,1.0,29.803588961147327,0.0,0.0,0.0
2000-03-07,45.54633712768555,-0.0005352811791042855,1.0,25.537776746337954,0.0,0.0,0.0
2000-03-08,46.74492263793945,0.0012050046708591555,0.0,45.710723896819644,0.0,0.0,0.0
2000-03-09,46.87811279296875,0.0,0.0,47.533228771238974,0.0,0.0,0.0
2000-03-10,46.74492263793945,0.0,0.0,45.7606924540958,0.0,0.0,0.0
2000-03-13,46.26301193237305,0.0,0.0,39.5962446198571,0.0,0.0,0.0
2000-03-14,45.99169540405274,0.0,0.0,36.40999499531036,0.0,0.0,0.0
2000-03-15,46.26301193237305,0.0,0.0,41.812593635171886,0.0,0.0,0.0
2000-03-16,46.6700439453125,0.0,0.0,49.27286168183436,0.0,0.0,0.0
2000-03-17,48.840736389160156,0.0,-1.0,71.64399857915204,0.0,0.0,0.0
2000-03-20,48.0267333984375,0.000817377532293273,0.0,60.16359657950582,0.0,0.0,0.0
2000-03-21,47.484046936035156,0.0,0.0,53.56124243405348,0.0,0.0,0.0
2000-03-22,48.43372344970703,0.0,0.0,61.98482180487295,0.0,0.0,0.0
2000-03-23,48.705078125,0.0,0.0,64.12997017557723,0.0,0.0,0.0
2000-03-24,49.92610168457031,0.0,-1.0,72.25781799731442,0.0,0.0,0.0
2000-03-27,51.28276443481445,-0.0013611743559590606,-1.0,78.50269186761588,0.0,0.0,0.0
2000-03-28,50.4687614440918,0.0008178231718409812,0.0,67.91817437967073,0.0,0.0,0.0
2000-03-29,49.79039001464844,0.0,0.0,60.12314651769721,0.0,0.0,0.0
2000-03-30,49.51908493041992,0.0,0.0,57.09902888336312,0.0,0.0,0.0
2000-03-31,49.38340759277344,0.0,0.0,55.48854060061127,0.0,0.0,0.0
2000-04-03,47.484046936035156,0.0,0.0,38.120921952300534,0.0,0.0,0.0
2000-04-04,47.484046936035156,0.0,0.0,38.120921952300534,0.0,0.0,0.0
2000-04-05,48.16238784790039,0.0,0.0,46.137031490630534,0.0,0.0,0.0
2000-04-06,47.3483772277832,0.0,0.0,39.120065812000355,0.0,0.0,0.0
2000-04-07,47.3483772277832,0.0,0.0,39.120065812000355,0.0,0.0,0.0
2000-04-10,46.94137191772461,0.0,0.0,35.52355069189106,0.0,0.0,0.0
2000-04-11,47.3483772277832,0.0,0.0,41.707203673388264,0.0,0.0,0.0
2000-04-12,47.484046936035156,0.0,0.0,43.780961935604246,0.0,0.0,0.0
2000-04-13,47.07703399658203,0.0,0.0,38.98068848848263,0.0,0.0,0.0
2000-04-14,47.21271514892578,0.0,0.0,41.44995041076705,0.0,0.0,0.0
2000-04-17,46.39870071411133,0.0,0.0,32.379473396201135,0.0,0.0,0.0
2000-04-18,46.94137191772461,0.0,0.0,42.12201159951862,0.0,0.0,0.0
2000-04-19,47.61972427368164,0.0,0.0,52.08009928580475,0.0,0.0,0.0
2000-04-20,47.61972427368164,0.0,0.0,52.08009928580475,0.0,0.0,0.0
2000-04-21,47.61972427368164,0.0,0.0,52.08009928580475,0.0,0.0,0.0
2000-04-24,47.61972427368164,0.0,0.0,52.08009928580475,0.0,0.0,0.0
2000-04-25,47.61972427368164,0.0,0.0,52.08009928580475,0.0,0.0,0.0
2000-04-26,47.7553939819336,0.0,0.0,55.23081211418876,0.0,0.0,0.0
2000-04-27,47.3483772277832,0.0,0.0,44.990925630286156,0.0,0.0,0.0
2000-04-28,47.3483772277832,0.0,0.0,44.990925630286156,0.0,0.0,0.0
2000-05-01,47.3483772277832,0.0,0.0,44.990925630286156,0.0,0.0,0.0
2000-05-02,46.94137191772461,0.0,0.0,35.017750128544606,0.0,0.0,0.0
2000-05-03,46.80570602416992,0.0,0.0,32.26679869121307,0.0,0.0,0.0
