,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
34,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 28,2006-06-28,L,2,2,9,G,706,526,6350000,2020-11-06,2016-11-11,5200000,22.12,22.353803,114.0612985
35,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 20,2004-11-12,M,2,,22,G,678,532,6250000,2020-11-05,2004-07-10,2356300,165.25,22.3518215,114.0598919
36,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 27,2006-06-28,M,2,2,22,B,676,499,6420000,2020-11-05,2006-09-06,2166000,196.4,22.3534505,114.061128
37,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 31,2006-06-28,M,3,,23,E,890,678,8680000,2020-11-04,2006-09-19,3487400,148.9,22.3538806,114.060371
38,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 1,2004-11-12,L,2,,3,G,678,532,5800000,2020-11-03,2010-08-25,2718000,113.39,22.3540625,114.061717
39,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 21,2004-11-12,H,2,,31,A,711,549,6780000,2020-11-02,2005-02-18,2950000,129.83,22.352131999999997,114.060002
40,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 29,2006-06-28,M,2,2,16,C,735,575,6780000,2020-10-30,2008-07-25,3150000,115.24000000000001,22.35426,114.0609386
41,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 20,2004-11-12,M,2,,15,C,718,566,6500000,2020-10-29,2012-06-01,3950000,64.56,22.3518215,114.0598919
42,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 18,2002-08-07,M,2,,12,E,648,497,5700000,2020-10-29,2002-09-28,1325100,330.16,22.351043999999998,114.060254
43,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 20,2004-11-12,M,2,,16,E,653,490,5980000,2020-10-29,2004-07-10,2100300,184.72,22.3518215,114.0598919
44,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 8,2002-08-07,H,2,,19,E,706,537,6000000,2020-10-28,2013-08-16,4330000,38.57,22.352532,114.0615209
45,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 12,2002-08-07,H,3,,19,D,1042,807,9700000,2020-10-28,2002-09-06,3006000,222.69,22.3512462,114.0609784
46,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 1,2004-11-12,H,2,,26,G,678,532,6580000,2020-10-27,2004-07-21,2590400,154.01,22.3540625,114.061717
47,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 25,2004-11-12,L,3,,11,D,775,591,6650000,2020-10-27,2013-02-28,4998000,33.05,22.3531194,114.06043
48,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 29,2006-06-28,M,2,2,18,A,622,476,5880000,2020-10-23,2006-09-02,2137500,175.09,22.35426,114.0609386
49,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 30,2006-06-28,M,3,,17,E,997,762,9500000,2020-10-22,2011-12-14,6480000,46.6,22.354236,114.0605369
50,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 2,2002-08-07,H,3,,25,H,829,628,7520000,2020-10-21,2005-04-20,2660000,182.71,22.353865,114.062104
51,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 6,2002-08-07,L,3,,5,A,1075,831,9880000,2020-10-16,2007-11-30,3800000,160.0,22.353023,114.0621146
52,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 21,2004-11-12,H,2,,28,F,678,532,6860000,2020-10-16,2011-05-25,3980000,72.36,22.352131999999997,114.060002
53,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 17,2002-08-07,M,,,11,L,488,360,5038000,2020-10-16,2017-03-15,4200000,19.95,22.350234,114.0599035
54,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 29,2006-06-28,M,2,2,16,A,622,476,5980000,2020-10-15,2016-08-05,4530000,32.01,22.35426,114.0609386
55,New Territories,Tsuen Wan,Ma Wan,Park Island,Block 10,2002-08-07,M,3,,9,D,1042,807,10153800,2020-10-14,2002-09-25,3013600,236.93,22.3518857,114.0611934
