,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
54,FLAT B 25/F BAILY COURT  ,19,3/12/2020,5.3,306,518,17320,10232,1421,31
55,NO. 49 (FLAT C) 2/F WING WAH BUILDING  ,51,2/12/2020,4.78,470,-,10170,-,-,
56,FLAT E 36/F BLOCK 2 SAN PO KONG PLAZA ,24,2/12/2020,6.88,401,538,17157,12788,3006,97
57,FLAT 12 10/F CHUN HONG HOUSE (BLOCK E) TIN MA COURT ,34,2/12/2020,4.33,338,461,12811,9393,-,
58,FLAT 2 24/F LUNG WAN HOUSE (BLOCK G) LUNG POON COURT ,28,1/12/2020,8.2,554,711,14801,11533,-,
59,FLAT 13 35/F LUNG BIK HOUSE (BLOCK F) LUNG POON COURT ,33,1/12/2020,6.05,383,520,15796,11635,-,
60,FLAT B 9/F BLOCK 2 SAN PO KONG PLAZA ,24,1/12/2020,8.45,612,814,13807,10381,4040,182
61,FLAT D 15/F TOWER 3 GRAND VIEW GARDEN ,21,30/11/2020,6.09,584,686,10425,8875,-,
62,FLAT 12 3/F LUNG KEI HOUSE (BLOCK D) LUNG POON COURT ,33,30/11/2020,5.15,383,520,13446,9904,-,
63,FLAT F 5/F 47 NGA TSIN WAI ROAD   (with roof),56,30/11/2020,3.08,264,-,11667,-,-,
64,FLAT D 19/F TOWER 5B LIONS RISE ,8,30/11/2020,9.88,523,680,18891,14529,3459,43
65,FLAT E 24/F BLOCK 3 TSUI CHUK GARDEN ,31,27/11/2020,3.67,484,540,7583,6796,-,
66,NO. 69 (FLAT 2) 1/F FUNG TAK HOUSE  ,51,27/11/2020,4.4,393,-,11196,-,-,
67,FLAT D 20/F TOWER 2 ARIA KOWLOON PEAK ,10,27/11/2020,8.25,497,642,16600,12850,3865,79
68,FLAT D 1/F 21-23 SOUTH WALL ROAD  ,43,27/11/2020,3.3,257,-,12840,-,2083,83
69,FLAT 22 14/F PANG CHING COURT  ,29,27/11/2020,4.9,443,583,11061,8405,-,
70,FLAT E 25/F BLOCK 2 BEL AIR HEIGHTS ,21,27/11/2020,10,657,826,15221,12107,-,
71,FLAT A 25/F BLOCK 3 (BLOCK C) TROPICANA GARDENS ,35,26/11/2020,5.2,333,515,15616,10097,5130,368
72,FLAT 6 1/F OI HONG HOSUE (BLOCK L) STAGE 3 TSZ OI COURT,20,26/11/2020,5.4,650,851,8305,6343,-,
73,FLAT 4 7/F TOA YUEN HOUSE (BLOCK 15) CHUK YUEN NORTH ESTATE ,31,26/11/2020,2.72,489,631,5562,4311,-,
74,FLAT 2 (NO. 85) 4/F CHEONG TAI BUILDING  ,57,26/11/2020,4.3,422,-,10190,-,2142,59
75,NO. 93 1/F 93 HAU WONG ROAD  ,68,26/11/2020,18.8,1051,-,17888,-,-,
76,NO. 93 2/F 93 HAU WONG ROAD  ,68,26/11/2020,18.8,1075,-,17488,-,-,
77,NO. 93 3/F 93 HAU WONG ROAD   (with roof),68,26/11/2020,18.8,1075,-,17488,-,-,
78,FLAT 9 18/F TOWER C GALAXIA ,22,25/11/2020,10,593,751,16863,13316,2443,51
79,FLAT D 21/F TOWER 6 ARIA KOWLOON PEAK ,10,25/11/2020,6.88,425,538,16188,12788,3886,75
80,NO. 10A 1/F 10A LUNG KONG ROAD  ,44,25/11/2020,2.66,174,-,15287,-,1505,6
81,FLAT F 18/F ASPEN CREST  ,2,24/11/2020,3.7,198,-,18687,-,1902,-3
82,FLAT D 3/F FUNG WONG CHUEN BUILDING  ,47,24/11/2020,4.56,384,550,11875,8291,3499,206
83,FLAT 4 18/F CHUN HONG HOUSE (BLOCK E) TIN MA COURT ,34,24/11/2020,4.65,338,461,13757,10087,-,
84,FLAT E 31/F BLOCK 2 SAN PO KONG PLAZA ,24,24/11/2020,6.68,408,548,16373,12190,8512,84
85,FLAT 2 (NO. 65 FRONT) 4/F SOUTH WALL MANSION  ,54,24/11/2020,3.15,391,-,8056,-,-,
86,FLAT 7 16/F CHUN SING HOUSE (BLOCK A) TIN MA COURT ,34,23/11/2020,5.46,415,567,13157,9630,-,
87,FLAT B 11/F TOWER 6A LIONS RISE ,8,23/11/2020,9.7,567,736,17108,13179,3109,45
88,FLAT C 1/F BLOCK 5 RHYTHM GARDEN ,20,23/11/2020,5.98,591,693,10118,8629,-,
89,FLAT 5 49/F TOWER E GALAXIA ,22,23/11/2020,17.48,1020,1275,17137,13710,1565,32
90,FLAT 7 22/F TOWER D GALAXIA ,22,23/11/2020,8,517,656,15474,12195,8285,118
91,FLAT A 21/F BLOCK 6 TSUI CHUK GARDEN ,31,23/11/2020,4.93,431,480,11439,10271,-,
92,FLAT C 12/F BLOCK 9 RHYTHM GARDEN ,20,20/11/2020,7,589,690,11885,10145,-,
93,FLAT E21 6/F LUEN HOP BUILDING  ,55,20/11/2020,2.2,194,-,11340,-,3525,144
94,FLAT D 5/F BLOCK 1 SAN PO KONG PLAZA ,24,20/11/2020,6.23,470,622,13255,10016,8802,165
95,FLAT A 20/F THE AVERY  ,6,20/11/2020,6.15,306,423,20098,14539,2801,0
96,FLAT E 23/F BLOCK 1 BEL AIR HEIGHTS ,21,20/11/2020,9.95,656,834,15168,11930,-,
97,FLAT D 19/F TOWER 5 GRAND VIEW GARDEN ,21,20/11/2020,6,584,685,10274,8759,-,
98,FLAT D 31/F TOWER 3B LIONS RISE ,8,20/11/2020,9.1,526,685,17300,13285,1619,38
99,FLAT 1 32/F TOWER D GALAXIA ,22,19/11/2020,11.28,593,751,19022,15020,7317,232
100,NO. 52 1/F 52 LUNG KONG ROAD  ,62,19/11/2020,6.18,568,-,10880,-,1534,56
101,FLAT 5 13/F TOWER A GALAXIA ,22,19/11/2020,10,593,751,16863,13316,2821,45
102,FLAT E 24/F BLOCK 11 RHYTHM GARDEN ,20,18/11/2020,5.8,431,505,13457,11485,-,
103,FLAT B 12/F BLOCK 1 BEL AIR HEIGHTS ,21,18/11/2020,7.65,449,570,17038,13421,-,
104,FLAT 18 32/F WAI YUEN HOUSE (BLOCK 10) CHUK YUEN NORTH ESTATE ,31,18/11/2020,2.75,443,572,6208,4808,-,
105,FLAT B 4/F YAT HONG COURT  ,21,18/11/2020,2.84,196,262,14490,10840,3374,69
106,FLAT D 39/F TOWER 5A LIONS RISE ,8,18/11/2020,10,567,736,17637,13587,3046,25
107,FLAT B 10/F BLOCK 1 (BLOCK A) TROPICANA GARDENS ,35,18/11/2020,5,333,529,15015,9452,8252,170
108,FLAT A 4/F WING LEE BUILDING  ,47,18/11/2020,3.3,389,-,8483,-,-,
109,NO. 16A 4/F 16-18 NGA TSIN LONG ROAD   (with roof),47,18/11/2020,3.43,347,-,9885,-,-,
110,FLAT A 12/F TOWER 2 GRAND VIEW GARDEN ,21,17/11/2020,6,584,685,10274,8759,-,
111,FLAT 18 28/F LUNG TAT HOUSE (BLOCK 1) LOWER WONG TAI SIN (1) ESTATE ,30,17/11/2020,2.48,397,-,6234,-,-,
112,FLAT F 13/F FUNG PO MANSION  ,44,17/11/2020,3.9,306,450,12745,8667,7891,343
113,FLAT C 20/F ON LEE BUILDING   (with roof),50,17/11/2020,5.2,386,-,13472,-,1475,35
114,FLAT G 30/F BLOCK 2 SAN PO KONG PLAZA ,24,17/11/2020,6.5,437,589,14874,11036,5267,233
115,FLAT G 19/F FU YAU BUILDING  ,42,17/11/2020,3.84,245,296,15665,12966,8834,243
