Ticker,Start date,End date,Portfolio return,Number of trades
0968,2017-01-01,2019-06-01,0.007899327891707835,21
2819,2017-01-01,2019-06-01,-1.1918147933474565,24
1486,2017-01-01,2019-06-01,-0.010811114735852114,15
1492,2017-01-01,2019-06-01,-0.10210416522215675,27
0001,2017-01-01,2019-06-01,0.039991019828050665,19
0767,2017-01-01,2019-06-01,-0.024105807675307952,22
0015,2017-01-01,2019-06-01,-0.008931009817426196,22
0983,2017-01-01,2019-06-01,-0.036013013816888886,18
0997,2017-01-01,2019-06-01,0.02149539970375607,23
0029,2017-01-01,2019-06-01,0.4120437727653849,20
3939,2017-01-01,2019-06-01,-0.035957851762211765,24
3087,2017-01-01,2019-06-01,5.526691434196103,18
1848,2017-01-01,2019-06-01,-0.06451813676524544,24
0565,2017-01-01,2019-06-01,-0.07856165264397534,21
1109,2017-01-01,2019-06-01,0.03410139264845681,23
0217,2017-01-01,2019-06-01,-0.019503796563307613,22
2366,2017-01-01,2019-06-01,-0.06994889138819761,24
0571,2017-01-01,2019-06-01,0.010998773685821996,19
0559,2017-01-01,2019-06-01,-0.001600024372514632,14
6128,2017-01-01,2019-06-01,0.36962865181021665,16
1647,2017-01-01,2019-06-01,0.05047450989590609,11
1121,2017-01-01,2019-06-01,-0.06954832045543864,22
1900,2017-01-01,2019-06-01,-0.00890079530626563,17
1928,2017-01-01,2019-06-01,0.2752536374758539,18
0388,2017-01-01,2019-06-01,-1.044751480190097,23
6060,2017-01-01,2019-06-01,0.2095590124650497,8
0411,2017-01-01,2019-06-01,0.4557794268915721,13
0377,2017-01-01,2019-06-01,-2.994036714069482,21
0363,2017-01-01,2019-06-01,-0.25456829488516103,19
2212,2017-01-01,2019-06-01,-0.020704286013749393,23
0405,2017-01-01,2019-06-01,0.07533721079916988,18
1733,2017-01-01,2019-06-01,0.011955581096690681,15
1055,2017-01-01,2019-06-01,0.07210971039900789,19
1041,2017-01-01,2019-06-01,0.01599745196913619,15
0439,2017-01-01,2019-06-01,-0.17530690052327383,21
0808,2017-01-01,2019-06-01,0.017604898977552273,19
0834,2017-01-01,2019-06-01,-0.0025000452153512574,14
0820,2017-01-01,2019-06-01,0.07494388738042426,19
1280,2017-01-01,2019-06-01,-0.17028961653689495,11
0175,2017-01-01,2019-06-01,0.3470608033091441,19
0613,2017-01-01,2019-06-01,0.006843110129321539,20
0607,2017-01-01,2019-06-01,-0.13248761910766008,22
2010,2017-01-01,2019-06-01,-0.012701616491268233,10
0161,2017-01-01,2019-06-01,0.32665454780814707,20
0149,2017-01-01,2019-06-01,-0.007647484093240871,16
2038,2017-01-01,2019-06-01,0.011310680760628623,17
3326,2017-01-01,2019-06-01,0.342082120864881,11
1243,2017-01-01,2019-06-01,-0.049210786476749514,22
3333,2017-01-01,2019-06-01,1.598096071206276,18
0148,2017-01-01,2019-06-01,-0.4245369686476326,21
2039,2017-01-01,2019-06-01,-0.07893923707857048,17
2011,2017-01-01,2019-06-01,-0.1451733961963667,23
0606,2017-01-01,2019-06-01,0.060491544723083365,17
0160,2017-01-01,2019-06-01,0.18190158647937518,14
2777,2017-01-01,2019-06-01,0.05319296344972224,22
0174,2017-01-01,2019-06-01,-0.07105052723283539,24
0612,2017-01-01,2019-06-01,1.768381530631478,17
2005,2017-01-01,2019-06-01,0.15205035903846306,22
0821,2017-01-01,2019-06-01,-0.0840706107227224,19
1281,2017-01-01,2019-06-01,0.02981112336538785,22
2788,2017-01-01,2019-06-01,-0.0035447363858608664,22
0835,2017-01-01,2019-06-01,0.0,0
0809,2017-01-01,2019-06-01,-0.0053002819700025405,21
0438,2017-01-01,2019-06-01,-0.025006269453228213,28
0362,2017-01-01,2019-06-01,0.02419413446007298,20
0404,2017-01-01,2019-06-01,0.0,0
0410,2017-01-01,2019-06-01,0.03450702184035204,17
1068,2017-01-01,2019-06-01,-0.010001002484672701,21
0376,2017-01-01,2019-06-01,0.19163202653149514,18
1083,2017-01-01,2019-06-01,0.15767823396201744,20
1929,2017-01-01,2019-06-01,-0.10795896643332617,24
0389,2017-01-01,2019-06-01,-0.006600433357514739,18
1097,2017-01-01,2019-06-01,-0.015273127256016254,16
0558,2017-01-01,2019-06-01,0.04478818186486607,16
1120,2017-01-01,2019-06-01,-0.1521746765911012,22
0216,2017-01-01,2019-06-01,0.07605022955868876,18
1108,2017-01-01,2019-06-01,-0.15624375841124463,20
0570,2017-01-01,2019-06-01,-0.039999504177210404,23
0564,2017-01-01,2019-06-01,0.1003632289498983,19
0202,2017-01-01,2019-06-01,-0.008600740700910298,22
2398,2017-01-01,2019-06-01,0.031400652201713376,16
1685,2017-01-01,2019-06-01,-0.07956325147257519,17
0996,2017-01-01,2019-06-01,-0.04564162710281157,13
1336,2017-01-01,2019-06-01,-0.31304547423577345,21
0028,2017-01-01,2019-06-01,0.023240861825500433,19
1322,2017-01-01,2019-06-01,-0.08120307217677795,19
0982,2017-01-01,2019-06-01,-0.015602436537538077,23
0014,2017-01-01,2019-06-01,-0.639892603585798,24
0766,2017-01-01,2019-06-01,0.0008999929788975508,20
0941,2017-01-01,2019-06-01,0.831358656954926,16
0969,2017-01-01,2019-06-01,-0.023005287161998983,28
2198,2017-01-01,2019-06-01,0.11845556949335008,18
0943,2017-01-01,2019-06-01,0.0129166308275218,20
2601,2017-01-01,2019-06-01,-0.3443730045142221,22
0016,2017-01-01,2019-06-01,1.149193418535742,21
1308,2017-01-01,2019-06-01,0.20930321510177208,20
0770,2017-01-01,2019-06-01,-0.05402916596918018,11
0764,2017-01-01,2019-06-01,-0.011001217525716879,28
0002,2017-01-01,2019-06-01,0.03400485122454302,20
1452,2017-01-01,2019-06-01,0.023494489163818032,18
0994,2017-01-01,2019-06-01,-0.010000990561359203,17
0980,2017-01-01,2019-06-01,-0.04502026388926849,20
