Unnamed: 0,dates,vader_label,textblob_label
163,2017-08-17,2.0,1.0
164,2017-08-18,2.0,2.0
165,2017-08-21,2.0,2.0
166,2017-08-22,2.0,2.0
167,2017-08-23,2.0,1.0
168,2017-08-24,2.0,1.0
169,2017-08-25,2.0,2.0
170,2017-08-28,2.0,1.0
171,2017-08-29,2.0,1.0
172,2017-08-30,2.0,1.0
173,2017-08-31,0.0,1.0
174,2017-09-01,0.0,1.0
175,2017-09-04,2.0,2.0
176,2017-09-05,2.0,2.0
177,2017-09-06,2.0,2.0
178,2017-09-07,2.0,2.0
179,2017-09-08,2.0,2.0
180,2017-09-11,2.0,2.0
181,2017-09-12,2.0,2.0
182,2017-09-13,2.0,2.0
183,2017-09-14,2.0,2.0
184,2017-09-15,2.0,2.0
185,2017-09-18,0.0,2.0
186,2017-09-19,2.0,2.0
187,2017-09-20,2.0,2.0
188,2017-09-21,2.0,2.0
189,2017-09-22,2.0,2.0
190,2017-09-25,2.0,2.0
191,2017-09-26,2.0,2.0
192,2017-09-27,2.0,2.0
193,2017-09-28,2.0,2.0
194,2017-09-29,2.0,2.0
195,2017-10-02,0.0,0.0
196,2017-10-03,2.0,1.0
197,2017-10-04,2.0,2.0
198,2017-10-05,0.0,0.0
199,2017-10-06,2.0,2.0
200,2017-10-09,0.0,2.0
201,2017-10-10,1.0,1.0
202,2017-10-11,2.0,2.0
203,2017-10-12,2.0,2.0
204,2017-10-13,2.0,2.0
205,2017-10-16,1.0,2.0
206,2017-10-17,2.0,2.0
207,2017-10-18,2.0,2.0
208,2017-10-19,2.0,2.0
209,2017-10-20,2.0,2.0
210,2017-10-23,2.0,1.0
211,2017-10-24,2.0,2.0
212,2017-10-25,2.0,2.0
213,2017-10-26,2.0,2.0
214,2017-10-27,2.0,0.0
215,2017-10-30,2.0,2.0
216,2017-10-31,2.0,2.0
217,2017-11-01,2.0,2.0
218,2017-11-02,2.0,2.0
219,2017-11-03,0.0,1.0
220,2017-11-06,0.0,0.0
221,2017-11-07,2.0,2.0
222,2017-11-08,0.0,2.0
223,2017-11-09,2.0,2.0
224,2017-11-10,2.0,2.0
225,2017-11-13,1.0,0.0
226,2017-11-14,2.0,0.0
227,2017-11-15,2.0,1.0
228,2017-11-16,0.0,0.0
229,2017-11-17,2.0,0.0
230,2017-11-20,2.0,2.0
231,2017-11-21,2.0,0.0
232,2017-11-22,2.0,2.0
233,2017-11-23,2.0,2.0
234,2017-11-24,2.0,2.0
235,2017-11-27,0.0,0.0
236,2017-11-28,2.0,2.0
237,2017-11-29,2.0,2.0
238,2017-11-30,2.0,2.0
239,2017-12-01,2.0,2.0
240,2017-12-04,2.0,2.0
241,2017-12-05,2.0,2.0
242,2017-12-06,2.0,2.0
243,2017-12-07,2.0,2.0
244,2017-12-08,2.0,2.0
245,2017-12-11,2.0,2.0
246,2017-12-12,2.0,2.0
247,2017-12-13,2.0,2.0
248,2017-12-14,2.0,2.0
249,2017-12-15,2.0,2.0
250,2017-12-18,1.0,2.0
251,2017-12-19,2.0,2.0
252,2017-12-20,1.0,2.0
253,2017-12-21,2.0,1.0
254,2017-12-22,2.0,0.0
255,2017-12-25,0.0,0.0
256,2017-12-26,0.0,0.0
257,2017-12-27,2.0,1.0
258,2017-12-28,2.0,2.0
259,2017-12-29,2.0,2.0
260,2018-01-01,0.0,0.0
261,2018-01-02,2.0,2.0
262,2018-01-03,0.0,2.0
263,2018-01-04,2.0,2.0
264,2018-01-05,2.0,2.0
265,2018-01-08,2.0,2.0
266,2018-01-09,2.0,2.0
267,2018-01-10,2.0,2.0
268,2018-01-11,2.0,2.0
269,2018-01-12,2.0,2.0
270,2018-01-15,2.0,2.0
271,2018-01-16,2.0,2.0
272,2018-01-17,1.0,2.0
273,2018-01-18,2.0,1.0
274,2018-01-19,2.0,2.0
275,2018-01-22,2.0,2.0
276,2018-01-23,1.0,2.0
277,2018-01-24,2.0,2.0
278,2018-01-25,2.0,2.0
279,2018-01-26,2.0,2.0
280,2018-01-29,2.0,2.0
281,2018-01-30,0.0,2.0
282,2018-01-31,0.0,2.0
283,2018-02-01,2.0,2.0
284,2018-02-02,2.0,2.0
285,2018-02-05,2.0,1.0
286,2018-02-06,2.0,0.0
287,2018-02-07,2.0,2.0
288,2018-02-08,2.0,2.0
289,2018-02-09,2.0,2.0
290,2018-02-12,2.0,0.0
291,2018-02-13,2.0,2.0
292,2018-02-14,2.0,2.0
293,2018-02-15,2.0,1.0
294,2018-02-16,0.0,0.0
295,2018-02-19,0.0,0.0
296,2018-02-20,2.0,0.0
297,2018-02-21,2.0,2.0
298,2018-02-22,0.0,2.0
299,2018-02-23,2.0,2.0
300,2018-02-26,2.0,2.0
301,2018-02-27,2.0,2.0
302,2018-02-28,2.0,1.0
303,2018-03-01,2.0,2.0
304,2018-03-02,2.0,2.0
305,2018-03-05,2.0,2.0
306,2018-03-06,2.0,2.0
307,2018-03-07,2.0,2.0
308,2018-03-08,2.0,2.0
309,2018-03-09,2.0,0.0
310,2018-03-12,2.0,2.0
311,2018-03-13,2.0,2.0
312,2018-03-14,2.0,0.0
313,2018-03-15,2.0,2.0
314,2018-03-16,2.0,1.0
315,2018-03-19,2.0,2.0
316,2018-03-20,2.0,2.0
317,2018-03-21,2.0,1.0
318,2018-03-22,2.0,2.0
319,2018-03-23,0.0,1.0
320,2018-03-26,2.0,1.0
321,2018-03-27,2.0,2.0
322,2018-03-28,2.0,2.0
323,2018-03-29,2.0,1.0
324,2018-03-30,0.0,0.0
325,2018-04-02,0.0,0.0
326,2018-04-03,2.0,2.0
327,2018-04-04,2.0,2.0
328,2018-04-05,0.0,0.0
329,2018-04-06,2.0,0.0
330,2018-04-09,2.0,2.0
331,2018-04-10,2.0,0.0
332,2018-04-11,2.0,2.0
333,2018-04-12,2.0,2.0
334,2018-04-13,1.0,1.0
335,2018-04-16,2.0,2.0
336,2018-04-17,2.0,2.0
337,2018-04-18,2.0,0.0
338,2018-04-19,2.0,2.0
339,2018-04-20,1.0,0.0
340,2018-04-23,2.0,2.0
341,2018-04-24,2.0,2.0
342,2018-04-25,2.0,2.0
343,2018-04-26,2.0,2.0
344,2018-04-27,2.0,2.0
345,2018-04-30,2.0,2.0
346,2018-05-01,0.0,0.0
347,2018-05-02,0.0,1.0
348,2018-05-03,2.0,2.0
349,2018-05-04,2.0,2.0
350,2018-05-07,2.0,2.0
351,2018-05-08,1.0,2.0
352,2018-05-09,2.0,2.0
353,2018-05-10,2.0,2.0
354,2018-05-11,2.0,2.0
355,2018-05-14,2.0,2.0
356,2018-05-15,2.0,0.0
357,2018-05-16,2.0,2.0
358,2018-05-17,2.0,1.0
359,2018-05-18,2.0,2.0
360,2018-05-21,2.0,0.0
361,2018-05-22,0.0,0.0
362,2018-05-23,2.0,2.0
363,2018-05-24,2.0,2.0
364,2018-05-25,1.0,1.0
365,2018-05-28,2.0,1.0
366,2018-05-29,2.0,2.0
367,2018-05-30,2.0,2.0
368,2018-05-31,2.0,1.0
369,2018-06-01,2.0,2.0
370,2018-06-04,2.0,2.0
371,2018-06-05,2.0,2.0
372,2018-06-06,2.0,2.0
373,2018-06-07,2.0,2.0
374,2018-06-08,2.0,1.0
