,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
556,FLAT B 1/F BLOCK 2 PH 8-LA COSTA DISCOVERY BAY,25,17/6/2019,12.92,927,1037,13937,12459,8741,247
557,FLAT B 4/F GREENERY COURT (BLOCK 1) PH 5-GREENVALE VILLAGE DISCOVERY BAY,30,17/6/2019,4.95,439,517,11276,9574,2848,131
558,FLAT E 11/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,17/6/2019,11.41,717,-,15909,-,-,-
559,FLAT B 19/F NEO HORIZON II  (BLOCK II) PHASE 10 NEO HORIZON  DISCOVERY BAY,20,14/6/2019,7.05,608,786,11595,8969,4065,149
560,FLAT B G/F 57 CAPERIDGE DRIVE PH 4-PENINSULA VL CRESTMONT DISCOVERY BAY,25,14/6/2019,14.7,1108,1282,13267,11466,-,
561,FLAT D 3/F GLAMOUR COURT PH 3-HILLGROVE VILLAGE DISCOVERY BAY,32,14/6/2019,6.35,591,699,10745,9084,1123,41
562,FLAT B 2/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,14/6/2019,11.14,821,-,13574,-,-,-
563,FLAT D 2/F-3/F 6 CAPERIDGE DRIVE PH 4-PENINSULA VL CAPERIDGE DISCOVERY BAY,30,14/6/2019,15.2,1359,1618,11185,9394,-,
564,FLAT D NO. 45 45 SEAHORSE LANE PH 1-BEACH VIL. SEAHORSE LANE DISCOVERY BAY,37,13/6/2019,31,1995,-,15539,-,4802,99
565,FLAT A 21/F SEAVIEW PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,11/6/2019,6.7,588,-,11395,-,5009,178
566,FLAT A 16/F JOVIAL COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,30,10/6/2019,8,755,889,10596,8999,2743,95
567,FLAT F 6/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,10/6/2019,5.2,350,-,14857,-,-,-
568,FLAT C 2/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,10/6/2019,9.57,715,-,13389,-,-,-
569,FLAT C 7/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,10/6/2019,10.79,715,-,15095,-,-,-
570,FLAT E 8/F GREENERY COURT (BLOCK 1) PH 5-GREENVALE VILLAGE DISCOVERY BAY,30,6/6/2019,5.08,439,517,11572,9826,1419,28
571,FLAT E 25/F THE BARION (BLOCK 2) PHASE 13 CHIANTI DISCOVERY BAY,14,6/6/2019,20.7,1448,1915,14296,10809,4930,-8
572,FLAT F 9/F CHERISH COURT PH 4-PENINSULA VL CAPELAND DISCOVERY BAY,28,6/6/2019,7.2,708,814,10169,8845,2433,62
573,FLAT A 3/F ELEGANCE COURT PH 3-HILLGROVE VILLAGE DISCOVERY BAY,32,5/6/2019,8.95,776,919,11534,9739,1511,33
574,FLAT C 9/F NEO HORIZON II  (BLOCK II) PHASE 10 NEO HORIZON  DISCOVERY BAY,20,5/6/2019,7.15,629,812,11367,8805,6572,167
575,FLAT B 6/F NEO HORIZON II  (BLOCK II) PHASE 10 NEO HORIZON  DISCOVERY BAY,20,5/6/2019,6,608,786,9868,7634,1739,43
576,FLAT A 8/F PEACEFUL MANSION (BLOCK H5) PHASE 12 SIENA TWO DISCOVERY BAY,18,5/6/2019,6.3,604,845,10430,7456,5481,199
577,FLAT F 2/F BLOCK 6 PHASE 16 POGGIBONSI DISCOVERY BAY,0,4/6/2019,5,350,-,14286,-,-,-
578,FLAT E 5/F GLAMOUR COURT PH 3-HILLGROVE VILLAGE DISCOVERY BAY,32,3/6/2019,4.3,398,-,10804,-,7982,64
579,FLAT A 20/F SEAVIEW PH 1-PARKRIDGE VILLAGE DISCOVERY BAY,38,31/5/2019,7.15,588,-,12160,-,1744,43
