2021-01-08,*BofAS Downgrades SUNNY OPTICAL (02382.HK) to Underperform with TP Added to $165 ,2382,news-daily
2021-01-06,Apple Expects to Produce Up to 96M iPhones in 1H21: Wire,2382,news-daily
2021-01-04,HKD3.2B Southbound Trading Net Inflow to TENCENT,2382,news-daily
2021-01-04,"HSTI Constituents Mixed; Sunny Optical, Xiaomi, Weimob, Kingsoft, XD Mark New Leagues ",2382,news-daily
2020-12-31,"JPM, Nomura's HK Stock Top Picks",2382,news-daily
2020-12-30,HKD2.5B Southbound Trading Net Inflow to TENCENT,2382,news-daily
2020-12-30,"HSI Gain Sharpens to Over 500 Pts to Cross 27,000; HKEX Up Almost 3% to Mark New High ",2382,news-daily
2020-12-30,"HSTI Spikes 2.9%; Meituan, Tencent, Baba, Kingsoft Up 4.5%-8.5%",2382,news-daily
2020-12-30,"HSI Once Widens Upswing to Over 300 Pts to Surpass 26,900; Mengniu, Wuxi Bio Bust Peaks",2382,news-daily
2020-12-29,HKD5B Southbound Trading Net Inflow to TENCENT,2382,news-daily
2020-12-29,"HSTI Once Ticks Up 3.6%; JD Health, Ali Health, Baba Rebound Over 4%-5%",2382,news-daily
2020-12-22,HSI Widens Slide to Over 300 Pts; Wharf REIC/ CKH/ Casinos/ Geely Slip 3%-5%,2382,news-daily
2020-12-18,"HSI Dives Over 200 Pts, Missing 26,500 as Led by Financials, Techs",2382,news-daily
2020-12-17,"CCBI: HSI 2021E Target at 23,500-29,500; Hails 10 Stocks Incl. Tencent, Sunny Optical, Geely",2382,news-daily
2020-12-10,HKD539.5M Southbound Trading Net Inflow to TENCENT,2382,news-daily
2020-12-10,G Sachs Restates Sell on SUNNY OPTICAL for Gloomy 2021 Handset Lens Industry Outlook,2382,news-daily
2020-12-10,*G Sachs Restates Sell on SUNNY OPTICAL (02382.HK) for Gloomy 2021 Handset Lens Industry Outlook,2382,news-daily
2020-12-10,JPM: SUNNY OPTICAL Nov Shipment Slower on Component Shortage; 2021E Fundamentals Still Positive,2382,news-daily
2020-12-10,*JPM: SUNNY OPTICAL Nov Shipment Slower on Component Shortage; 2021E Fundamentals Still Positive,2382,news-daily
2020-12-09,SUNNY OPTICAL Nov Handset Lens Sets Shipment Vol -19.2% MoM to 129M Units,2382,news-daily
2020-12-08,"BOCOMI: Value Stocks to Keep Outrunning Next Yr; Hails 12 HK Names Incl. Tencent, Sunny Optical ",2382,news-daily
2020-12-08,"HSI Deepens Loss to Over 200 Pts to Miss 26,300, Led by Financials/ Oils/ CN Developers",2382,news-daily
2020-12-08,"HSTI Hikes 1.1%, Echoing Nasdaq; Meituan, Xiaomi Regain Over 3%-6%",2382,news-daily
2020-11-30,HSI Steepens Slide to Over 300 Pts After Midday; CNOOC Dives 11% on Purported US Ban,2382,news-daily
2020-11-25,HKD828.8M Southbound Trading Net Outflow from TENCENT,2382,news-daily
2020-11-25,"HSI Widens Gain, Once Nearing 27,000 Led by Financials, Traditional Developers, Oils",2382,news-daily
2020-11-19,CN 3 Key Carriers Said to Jointly Announce 5G Messaging Commercialization at End-20,2382,news-daily
