,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
1338,FLAT 1 27/F ON FAI HOUSE (BLOCK D) YUE FAI COURT ,40,16/4/2019,5.87,419,502,14010,11693,-,
1339,FLAT 8 19/F PIK ON HOUSE (BLOCK C) YUE ON COURT ,32,16/4/2019,6.48,504,618,12857,10485,-,
1340,FLAT F 21/F BLOCK 1 POKFULAM GARDENS ,41,16/4/2019,20,1173,1345,17050,14870,7343,225
1341,FLAT K 15/F JUMBO COURT  ,41,15/4/2019,6.98,401,458,17406,15240,1537,40
1342,FLAT D 26/F KAM FUNG BUILDING  ,34,15/4/2019,6.7,421,530,15914,12642,3651,209
1343,FLAT A 10/F FORTUNE MANSION  ,33,15/4/2019,5.88,415,505,14169,11644,-,
1344,FLAT B 8/F BLOCK 24 BAGUIO VILLA ,41,15/4/2019,16.68,906,1020,18411,16353,3422,125
1345,FLAT D 16/F FU YAR YUEN (BLOCK H-12) CHI FU FA YUEN ,40,15/4/2019,6.95,439,518,15831,13417,4736,230
1346,FLAT A 28/F BLOCK 2 POKFULAM GARDENS  (with roof),41,15/4/2019,18.3,705,833,25957,21969,-,
1347,FLAT H 28/F BLOCK 2 BROADVIEW COURT ,19,15/4/2019,9.8,577,691,16984,14182,-,
1348,FLAT 4 21/F TIN FAI HOUSE (BLOCK F) YUE FAI COURT ,39,15/4/2019,5.6,419,502,13365,11155,-,
