,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
7685,FLAT C 7/F BLOCK 5 PHASE 1 DOUBLE COVE,7,21/2/2017,7.2,548,710,13139,10141,1484,14
7686,FLAT F 5/F BLOCK 21 PHASE 2 DOUBLE COVE STARVIEW DOUBLE COVE,6,17/2/2017,6,490,-,12245,-,1110,20
7687,FLAT 2 13/F KAM FOON HOUSE (BLOCK A) KAM HAY COURT ,30,17/2/2017,3.95,645,827,6124,4776,-,
7688,FLAT F 17/F BLOCK 7 PHASE 4 DOUBLE COVE GRANDVIEW DOUBLE COVE,4,17/2/2017,7.95,513,-,15506,-,-,-
7689,FLAT D 9/F BLOCK 3 MONTE VISTA ,20,17/2/2017,7,681,875,10279,8000,2079,54
7690,FLAT D 26/F TOWER 5A OCEANAIRE ,9,17/2/2017,8.5,732,964,11612,8817,757,17
7691,FLAT 8 17/F BLOCK A PHASE 1 SUNSHINE CITY,27,16/2/2017,6.62,568,687,11655,9636,7635,141
7692,FLAT C 21/F BLOCK 19 PHASE 2 DOUBLE COVE STARVIEW DOUBLE COVE,6,16/2/2017,6.95,511,-,13601,-,1117,32
7693,FLAT B 8/F TOWER 7 SAUSALITO ,13,16/2/2017,6,483,649,12422,9245,2209,89
7694,FLAT 6 16/F KAM MEI HOUSE (BLOCK G) KAM FUNG COURT ,23,16/2/2017,3.52,436,579,8073,6079,-,
7695,FLAT A 33/F BLOCK 23 PHASE 3 DOUBLE COVE STARVIEW P DOUBLE COVE,5,16/2/2017,21.76,1378,-,15794,-,-,-
7696,FLAT G 31/F BLOCK 4 SADDLE RIDGE GARDEN ,27,16/2/2017,4.02,592,691,6787,5815,-,
7697,FLAT G 39/F TOWER 3 LAKE SILVER ,11,16/2/2017,7.1,552,723,12862,9820,2492,88
7698,FLAT D 2/F BLOCK 1 SADDLE RIDGE GARDEN ,27,15/2/2017,3.38,583,681,5798,4963,-,
7699,FLAT 3 15/F BLOCK Q PHASE 3 SUNSHINE CITY,26,15/2/2017,4.7,337,451,13947,10421,1103,30
7700,FLAT D 29/F TOWER 10 PHASE 1 VISTA PARADISO,22,15/2/2017,9.42,789,979,11939,9622,2839,119
7701,FLAT F 21/F BLOCK 8 PHASE 4 DOUBLE COVE GRANDVIEW DOUBLE COVE,4,15/2/2017,8.26,512,-,16137,-,-,-
7702,FLAT C 3/F BLOCK 8 PHASE 4 DOUBLE COVE GRANDVIEW DOUBLE COVE,4,15/2/2017,7.59,491,-,15464,-,-,-
7703,FLAT 2 9/F BLOCK B PHASE 1 SUNSHINE CITY,27,14/2/2017,4.58,348,425,13161,10776,2650,154
