,Address,BuildingAge,RegDate,Price,SaleableArea,GrossArea,UnitPricePerSaleableArea,UnitPricePerGrossArea,LastHold,GainLoss
1171,FLAT A 13/F TOWER 11 PARC ROYALE ,25,29/5/2020,13.75,942,1203,14597,11430,8493,88
1172,FLAT A 1/F BLOCK 22 GREENWOOD TERRACE ,33,29/5/2020,9.9,882,1052,11224,9411,8693,90
1173,HOUSE 4 NO. 33 HOUSE 4 GOLDEN TIME VILLAS ,0,29/5/2020,18,-,-,-,-,-,
1174,HOUSE 10 NO. 37 HOUSE 10 LA CRESTA ,3,29/5/2020,75.02,2721,-,27571,-,-,-
1175,FLAT B 19/F BLOCK 3 THE PALAZZO ,12,28/5/2020,13.5,769,985,17555,13706,4391,78
1176,FLAT F 2/F COURT A TOWER 1 DRAGONS RANGE ,5,28/5/2020,8.4,681,-,12335,-,2009,14
1177,FLAT 2 5/F BLOCK D SCENERY GARDEN ,36,27/5/2020,5.73,408,522,14044,10977,3616,178
1178,FLAT A 8/F LILI COURT (BLOCK 4) WORLD-WIDE GARDENS ,42,27/5/2020,13.78,1255,1445,10980,9536,-,
1179,FLAT D 15/F BLOCK 1 THE PALAZZO ,12,27/5/2020,8.6,556,717,15468,11994,2042,33
1180,FLAT 4 4/F YUK WO COURT  ,0,26/5/2020,2.4,-,-,-,-,-,-
1181,FLAT G 30/F BLOCK 8 PHASE 2 ROYAL ASCOT,24,26/5/2020,13.38,974,1127,13737,11872,8720,101
1182,FLAT C 3/F COURT A TOWER 1 DRAGONS RANGE ,5,26/5/2020,6.75,466,-,14485,-,1981,6
1183,HOUSE 5 NO. 23 HOUSE 5 MOUNT REGALIA  (with flat roof),2,26/5/2020,78.91,2741,-,28788,-,-,-
1184,FLAT A 63/F BLOCK 9 THE PALAZZO ,12,26/5/2020,80,3062,4178,26127,19148,-,-
1185,FLAT 3 22/F BLOCK B SCENERY GARDEN ,35,26/5/2020,8,537,687,14898,11645,4321,208
1186,FLAT 5 24/F YUK WO COURT  ,0,25/5/2020,2.57,-,-,-,-,-,-
