,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
31,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,H,,,7,C,0,265,8205000,2020-10-23,,0,0.0,22.330969,114.18579
32,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Faber Garden,Faber Garden,1977-03-31,H,3,2,7,B1,1100,950,17680000,2020-10-23,1999-05-11,4688000,277.13,22.341606,114.181915
33,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,L,,,3,E,0,283,7999000,2020-10-23,,0,0.0,22.330969,114.18579
34,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,M,,,5,E,0,283,8248000,2020-10-22,,0,0.0,22.330969,114.18579
35,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Welcome Gardens,Block 2,1971-11-24,H,3,2,9,G,900,698,10000000,2020-10-22,2008-02-06,4020000,148.76,22.342558,114.18066999999999
36,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,No.1 Oxford Road,House 2,2009-12-03,,,,,,7292,5325,196000000,2020-10-22,2017-08-14,190000000,3.16,22.330488,114.18056
37,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Beverly Villas,Block 10,1980-12-24,M,3,2,7,D,1308,1212,16000000,2020-10-22,2003-06-27,4700000,240.43,22.327439,114.183459
38,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,M,,,6,D,0,278,8481000,2020-10-21,,0,0.0,22.330969,114.18579
39,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Kent Court,Block 5,1985-06-28,H,3,2,9,B,1021,882,15800000,2020-10-21,2002-11-21,4000000,295.0,22.327441999999998,114.18083
40,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,M,,,6,C,0,265,8047000,2020-10-19,,0,0.0,22.330969,114.18579
41,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 2,2019-09-29,M,,,5,C,0,265,7897000,2020-10-19,,0,0.0,22.330969,114.18579
42,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 1,2019-09-29,M,,,5,D,0,651,21175000,2020-10-19,,0,0.0,22.330961,114.18567
43,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Beverley Heights,Beverley Heights,1970-03-11,M,4,2,7,B2,1350,1090,13000000,2020-10-16,,0,0.0,22.344451,114.17722
44,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Phoenix Court,Block H,1977-10-18,L,3,,1,3,0,623,9820000,2020-10-16,2004-10-13,2060000,376.7,22.341953,114.18215000000001
45,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,La Salle Residence,La Salle Residence,2018-06-14,M,,,9,A,0,420,11906000,2020-10-12,,0,0.0,22.32613,114.18214
46,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Happy Garden,Block B,1976-02-05,M,2,2,5,3,696,598,11300000,2020-10-12,2014-12-17,8380000,34.84,22.341569999999997,114.183264
47,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,La Salle Residence,La Salle Residence,2018-06-14,L,,,6,B,0,414,11071000,2020-10-08,,0,0.0,22.32613,114.18214
48,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,La Salle Residence,La Salle Residence,2018-06-14,M,,,8,B,0,414,11495000,2020-10-08,,0,0.0,22.32613,114.18214
49,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Marple Court,Marple Court,1972-04-04,M,3,2,4,A,1050,900,14680000,2020-10-05,2005-08-31,5138000,185.71,22.342674,114.180984
50,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Alice Court,Block B,1971-10-12,M,3,2,4,E,850,654,9900000,2020-09-29,2012-11-22,7300000,35.62,22.342668999999997,114.18130000000001
51,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Faber Garden,Faber Garden,1977-03-31,L,1,2,1,2,563,496,7100000,2020-09-29,2012-04-17,4230000,67.85,22.341606,114.181915
52,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Parc Inverness,Block 3,2016-03-18,H,2,,10,C,0,883,21424800,2020-09-28,,0,0.0,22.333755,114.18652
53,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Jade Court,Block D,1977-05-04,L,2,,2,D3,0,385,6860000,2020-09-25,2005-10-08,1900000,261.05,22.342662999999998,114.18217
54,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Mayfair Gardens,Mayfair Gardens,1964-09-24,L,,,2,B,0,1082,18280000,2020-09-24,2014-12-17,14500000,26.07,22.328342,114.18521
55,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Phoenix Court,Block B,1977-10-18,M,3,,6,6,0,784,13300000,2020-09-22,,0,0.0,22.342283,114.18151
56,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Jade Court,Block C,1977-05-04,L,3,,1,C2,0,661,11000000,2020-09-22,2011-03-04,5600000,96.43,22.342747,114.18206
57,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Manhattan Court,Manhattan Court,1975-07-31,H,,,7,8D,0,934,15000000,2020-09-21,,0,0.0,22.3429194,114.177707
58,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Happy Garden,Block B,1976-02-05,H,2,2,6,3,696,598,10680000,2020-09-21,2015-06-18,8000000,33.5,22.341569999999997,114.183264
59,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Peninsula Heights,Block B,2000-03-22,H,,,16,5,1450,1137,20000000,2020-09-17,2012-03-27,12000000,66.67,22.343394999999997,114.18308999999999
60,Kowloon,Kowloon City,Kowloon Tong / Beacon Hill,Ayton,Tower 1,2019-09-29,M,,,6,D,0,651,22020000,2020-09-14,,0,0.0,22.330961,114.18567
