Ticker,profit_score1,profit_score2,profit_score3,asset_score1,leverage_score1,leverage_score2,leverage_score3,Total,Final
1799,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1801,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1802,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1803,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1805,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333
1807,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1808,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1810,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1811,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1812,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1813,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3333333333333333,0.4444444444444444
1814,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1815,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.2222222222222222
1820,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1821,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333
1822,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1111111111111111
1826,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.2222222222222222
1827,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3333333333333333,0.4444444444444444
1828,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
1833,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333
1835,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.666666666666667,0.888888888888889
1841,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.6666666666666665,0.5555555555555555
1847,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.6666666666666665,0.5555555555555555
1848,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.2222222222222222
