,region,subregion,district,estate,building,first_op_date,floor_level,bedroom,sitting_room,floor,flat,area,net_area,price,tx_date,last_tx_date,last_price,gain,lat,lon
29,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Convention Plaza,Apartment Tower ( Apar ),1990-03-07,L,,,21,5,0,922,19800000,2020-11-17,2016-12-05,18500000.0,7.03,22.280714,114.17205
30,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Monmouth Place,Monmouth Place,1994-11-21,M,,,10,A,1483,962,18000000,2020-11-13,,0.0,0.0,22.275344999999998,114.16769
31,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Convention Plaza,Apartment Tower ( Apar ),1990-03-07,L,,,19,2,0,1115,26380000,2020-11-12,2007-07-19,16180000.0,63.04,22.280714,114.17205
32,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Vincent Mansion,High Block,1989-01-31,,0,,22,C,0,226,5030000,2020-11-10,,0.0,0.0,22.276076999999997,114.16787
33,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 3,1993-08-12,L,2,,7,D,821,646,18800000,2020-11-09,1996-11-26,8238000.0,128.21,22.2755279,114.152324
34,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Valverde,Valverde,1998-01-07,L,,,17,A,0,721,26200000,2020-11-06,2012-11-19,21800000.0,20.18,22.273847999999997,114.15279
35,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,L,4,,3,A,2691,2153,89200000,2020-11-04,,0.0,0.0,22.276265,114.152336
36,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,H,4,,39,B,2256,1794,88100000,2020-11-04,,0.0,0.0,22.276265,114.152336
37,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,H,4,,33,B,2256,1794,85400000,2020-11-04,,0.0,0.0,22.276265,114.152336
38,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,L,4,,12,A,2691,2153,93400000,2020-11-04,,0.0,0.0,22.276265,114.152336
39,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,M,4,,24,B,2256,1794,81500000,2020-11-04,,0.0,0.0,22.276265,114.152336
40,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,H,4,,30,B,2256,1794,84100000,2020-11-04,,0.0,0.0,22.276265,114.152336
41,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,H,4,,30,A,2680,2141,101900000,2020-11-04,,0.0,0.0,22.276265,114.152336
42,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Dynasty Court,Block 2,1991-09-25,H,4,,39,A,2680,2141,106700000,2020-11-04,,0.0,0.0,22.276265,114.152336
43,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Manrich Court,Manrich Court,1990-08-29,L,,,1,D,542,397,7500000,2020-11-02,2011-04-06,5278000.0,42.1,22.275772,114.16891
44,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Ewan Court,Ewan Court,1978-06-23,M,,,8,C,1485,1213,30000000,2020-10-29,,0.0,0.0,22.2743797,114.1689464
45,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Ewan Court,Ewan Court,1978-06-23,M,,,8,D,1468,1197,30000000,2020-10-29,,0.0,0.0,22.2743797,114.1689464
46,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Tregunter,Tower 1,1981-06-10,H,3,,31,B,0,2330,59800000,2020-10-29,2009-08-24,30000000.0,99.33,22.273999,114.15217200000001
47,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 1,1993-08-12,M,2,,14,B,931,761,21000000,2020-10-28,2015-10-09,16400000.0,28.05,22.275081,114.152337
48,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 1,1999-11-08,H,3,,27,F,1130,898,20000000,2020-10-27,2010-05-19,11000000.0,81.82000000000001,22.276526,114.167354
49,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Convention Plaza,Apartment Tower ( Apar ),1990-03-07,M,,,30,18,0,623,16280000,2020-10-20,2016-10-19,14000000.0,16.29,22.280714,114.17205
50,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Monticello,Block B,1969-08-11,L,3,,3,,1453,1232,24000000,2020-10-20,2016-12-16,19500000.0,23.080000000000002,22.274762,114.16841
51,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Man Yuen Garden,Man Yuen Garden,1971-01-12,M,,,7,,2000,1669,36000000,2020-10-16,,0.0,0.0,22.27442,114.1685226
52,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Convention Plaza,Apartment Tower ( Apar ),1990-03-07,L,,,21,16,0,978,25500000,2020-10-16,2008-04-11,12472604.3,104.45,22.280714,114.17205
53,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 2,1977-09-12,M,,,6,C,0,915,14800000,2020-10-15,2010-08-31,8580000.0,72.49,22.274075999999997,114.17242
54,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 5,1977-09-12,H,,,14,D,0,890,16650000,2020-10-12,2013-05-15,15500000.0,7.42,22.273906999999998,114.17304
55,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Glory Mansion,Glory Mansion,1961-06-01,H,,,10,106,0,1880,41880000,2020-10-12,2015-10-14,38500000.0,8.78,22.2745355,114.1617584
56,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 3,1993-08-12,M,2,,14,B,783,625,14400000,2020-10-12,1996-10-31,6800000.0,111.76,22.2755279,114.152324
57,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Phoenix Court,Block 4,1977-09-12,M,,,10,A,0,1119,16600000,2020-10-08,,0.0,0.0,22.27396,114.17284
58,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hollywood Heights,Hollywood Heights,1977-11-18,L,,,5,A,2466,2272,68000000,2020-10-06,2015-06-03,57500000.0,18.26,22.276545,114.15446299999999
59,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Best View Court,Block A,1959-05-11,H,,,9,,0,1415,23300000,2020-09-30,,0.0,0.0,22.2749511,114.1600329
60,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Estoril Court,Block 1,1983-08-26,L,3,,5,A,3347,2888,81000000,2020-09-30,2015-10-07,60650000.0,33.55,22.275494,114.155385
61,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 3,1993-08-12,H,2,,32,A,841,677,18900000,2020-09-29,1997-02-27,13000000.0,45.38,22.2755279,114.152324
62,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-21,L,1,,4,E,0,452,9928000,2020-09-25,1996-12-24,5500000.0,80.51,22.275555999999998,114.156828
63,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 2,1993-08-12,L,2,,10,A,841,657,18550000,2020-09-23,2015-02-04,14450000.0,28.37,22.275344,114.152366
64,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Wealthy Heights,Wealthy Heights,1987-06-27,M,,,14,A,1760,1584,37200000,2020-09-22,,0.0,0.0,22.275665999999998,114.158758
65,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Starcrest,Block 1,1999-11-08,M,3,,22,A,1158,919,26000000,2020-09-16,2007-05-07,14650000.0,77.47,22.276526,114.167354
66,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Convention Plaza,Apartment Tower ( Apar ),1990-03-07,M,,,32,13,0,409,9600000,2020-09-15,2013-09-06,7500000.0,28.0,22.280714,114.17205
67,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,St. Louis Mansion,St. Louis Mansion,1993-05-21,L,0,,4,A,0,314,6500000,2020-09-15,2012-12-31,6450000.0,0.78,22.275555999999998,114.156828
68,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Hillsborough Court,Block 2,1993-08-12,M,2,,16,D,821,646,16200000,2020-09-11,2017-07-12,16880000.0,-4.03,22.275344,114.152366
69,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Beau Cloud Mansion,Beau Cloud Mansion,1965-09-04,L,,,1,C,0,1437,29800000,2020-09-10,2009-10-21,16600000.0,79.52,22.2750955,114.159629
70,Hong Kong Island,Central And Western,Central Mid-Levels / Admiralty,Birchwood Place,Birchwood Place,1989-08-31,L,,,12,B,2018,1596,49500000,2020-09-10,2008-10-08,24500000.0,102.04,22.27514,114.160966
